"Attacked","Availability","Confidentiality","Integrity","tick"
0.0,1.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,2.0
0.0,1.0,1.0,1.0,3.0
0.0,1.0,1.0,1.0,4.0
0.0,1.0,1.0,1.0,5.0
0.0,1.0,1.0,1.0,6.0
0.0,1.0,1.0,1.0,7.0
0.0,1.0,1.0,1.0,8.0
0.0,1.0,1.0,1.0,9.0
0.0,1.0,1.0,1.0,10.0
0.0,1.0,1.0,1.0,11.0
0.0,1.0,1.0,1.0,12.0
0.0,1.0,1.0,1.0,13.0
0.0,1.0,1.0,1.0,14.0
0.0,1.0,1.0,1.0,15.0
0.0,1.0,1.0,1.0,16.0
0.0,1.0,1.0,1.0,17.0
0.0,1.0,1.0,1.0,18.0
0.0,1.0,1.0,1.0,19.0
0.0,1.0,1.0,1.0,20.0
0.0,1.0,1.0,1.0,21.0
0.0,1.0,1.0,1.0,22.0
0.0,1.0,1.0,1.0,23.0
0.0,1.0,1.0,1.0,24.0
0.0,1.0,1.0,1.0,25.0
0.0,1.0,1.0,1.0,26.0
1.0,1.0,0.9629629629629629,1.0,27.0
1.0,1.0,0.9629629629629629,0.962962962962963,28.0
1.0,0.9629629629629629,0.9629629629629629,0.962962962962963,29.0
1.0,0.9629629629629629,0.9629629629629629,0.962962962962963,30.0
1.0,0.9629629629629629,0.9629629629629629,0.962962962962963,31.0
1.0,0.9259259259259257,0.9259259259259257,0.962962962962963,32.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,33.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,34.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,35.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,36.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,37.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,38.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,39.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,40.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,41.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,42.0
1.0,0.9259259259259257,0.8888888888888887,0.962962962962963,43.0
1.0,0.8888888888888887,0.8888888888888887,0.962962962962963,44.0
